path,file_type,exists_missing,size_bytes,modified_time,duration_sec,stream_summary,referenced_by,status
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/9x16/cont_seg_9.mp4,mp4,exists,9392575,2026-06-14T09:50:16.454173+08:00,11.041667,video=h264 1080x1920 fps=24/1 frames=265 stream_dur=11.041667,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/9x16/cont_visual.mp4,mp4,exists,52509667,2026-06-14T09:50:16.625176+08:00,83.333333,video=h264 1080x1920 fps=24/1 frames=2000 stream_dur=83.333333,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/manifest.json,json,exists,6453,2026-06-14T09:48:04.885673+08:00,,,,expected
Videos/Projects/using_ai_to_help_memory_retention_short/media_generation_log.json,json,exists,3155,2026-06-14T09:41:58.148763+08:00,,,,expected
Videos/Projects/using_ai_to_help_memory_retention_short/media_plan.json,json,exists,40275,2026-06-14T09:14:24.209479+08:00,,,,expected
Videos/Projects/using_ai_to_help_memory_retention_short/media_qa_report.json,json,exists,3634,2026-06-14T09:44:04.470535+08:00,,,,expected
Videos/Projects/using_ai_to_help_memory_retention_short/narration/001_hook.mp3,missing,missing,,,,,,expected-missing
Videos/Projects/using_ai_to_help_memory_retention_short/narration/002_proof.mp3,missing,missing,,,,,,expected-missing
Videos/Projects/using_ai_to_help_memory_retention_short/narration/003_flip.mp3,missing,missing,,,,,,expected-missing
Videos/Projects/using_ai_to_help_memory_retention_short/narration/004_takeaway_cta.mp3,missing,missing,,,,,,expected-missing
Videos/Projects/using_ai_to_help_memory_retention_short/narration/beat_timing_map.json,json,exists,1259,2026-06-14T09:05:14.239550+08:00,,,manifest.json,referenced
Videos/Projects/using_ai_to_help_memory_retention_short/narration/continuous.mp3,mp3,exists,2346048,2026-06-14T08:24:53.850228+08:00,146.599184,audio=mp3 44100Hz 1ch stream_dur=146.599184,manifest.json,referenced
Videos/Projects/using_ai_to_help_memory_retention_short/narration/slices/B001.mp3,mp3,exists,160540,2026-06-14T09:14:23.998732+08:00,10.004898,audio=mp3 44100Hz 1ch stream_dur=10.004898,manifest.json; media_plan.json,referenced
Videos/Projects/using_ai_to_help_memory_retention_short/narration/slices/B002.mp3,mp3,exists,80709,2026-06-14T09:14:24.028732+08:00,5.015510,audio=mp3 44100Hz 1ch stream_dur=5.015510,manifest.json; media_plan.json,referenced
Videos/Projects/using_ai_to_help_memory_retention_short/narration/slices/B004.mp3,mp3,exists,96592,2026-06-14T09:14:24.060733+08:00,6.008163,audio=mp3 44100Hz 1ch stream_dur=6.008163,manifest.json; media_generation_log.json; media_plan.json,referenced
Videos/Projects/using_ai_to_help_memory_retention_short/narration/slices/B006.mp3,mp3,exists,160540,2026-06-14T09:14:24.094733+08:00,10.004898,audio=mp3 44100Hz 1ch stream_dur=10.004898,manifest.json; media_generation_log.json; media_plan.json,referenced
Videos/Projects/using_ai_to_help_memory_retention_short/narration/slices/B008.mp3,mp3,exists,160540,2026-06-14T09:14:24.130734+08:00,10.004898,audio=mp3 44100Hz 1ch stream_dur=10.004898,manifest.json; media_generation_log.json; media_plan.json,referenced
Videos/Projects/using_ai_to_help_memory_retention_short/narration/slices/B009.mp3,mp3,exists,160539,2026-06-14T09:14:24.166734+08:00,10.004898,audio=mp3 44100Hz 1ch stream_dur=10.004898,manifest.json; media_generation_log.json; media_plan.json,referenced
Videos/Projects/using_ai_to_help_memory_retention_short/narration/slices/B010.mp3,mp3,exists,160540,2026-06-14T09:14:24.206735+08:00,10.004898,audio=mp3 44100Hz 1ch stream_dur=10.004898,manifest.json; media_generation_log.json; media_plan.json,referenced
Videos/Projects/using_ai_to_help_memory_retention_short/narration/timing_map.json,missing,missing,,,,,,expected-missing
Videos/Projects/using_ai_to_help_memory_retention_short/research_brief.json,json,exists,5550,2026-06-14T01:47:24.977818+08:00,,,,expected
Videos/Projects/using_ai_to_help_memory_retention_short/review_rounds/script_round0.json,json,exists,16949,2026-06-14T01:48:39.886730+08:00,,,,evidence-unreferenced-by-json
Videos/Projects/using_ai_to_help_memory_retention_short/review_rounds/script_round1.json,json,exists,16864,2026-06-14T01:50:37.288620+08:00,,,,evidence-unreferenced-by-json
Videos/Projects/using_ai_to_help_memory_retention_short/review_rounds/script_round2.json,json,exists,12294,2026-06-14T01:52:27.290634+08:00,,,,evidence-unreferenced-by-json
